sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
DEN010000,1,0,xM1,1,304,,,,,1,,,,
DEN010001,1,1,xS4-5,4,210,212,217,222,,1,1,1,1,
DEN010002,1,2,xS1,1,106,,,,,1,,,,
DEN010003,1,3,xS2-3,2,110,214,,,,1,1,,,
DEN010004,1,4,xS1,1,203,,,,,1,,,,
DEN010005,1,5,xS1,1,109,,,,,1,,,,
DEN010006,1,6,xL1,1,403,,,,,1,,,,
DEN010007,1,7,xS1,1,107,,,,,1,,,,
DEN010008,1,8,xS1,1,220,,,,,1,,,,
DEN010009,1,9,xS1,1,219,,,,,1,,,,
DEN010010,1,10,xS4-5,4,103,201,204,216,,1,1,1,1,
DEN010011,1,11,xS4-5,5,102,108,206,208,225,1,1,1,1,1
DEN010012,1,12,xM1,1,308,,,,,1,,,,
DEN010013,1,13,xS2-3,2,305,311,,,,1,1,,,
DEN010014,1,14,xS1,1,104,,,,,1,,,,
DEN010015,1,15,xM2-5,3,401,402,404,,,1,1,1,,
DEN010016,1,16,xS2-3,2,213,223,,,,1,1,,,
DEN010017,1,17,xM2-5,4,306,309,310,312,,1,1,1,1,
DEN010018,1,18,xL1,1,501,,,,,1,,,,
DEN010019,1,19,xM2-5,2,301,307,,,,1,1,,,
DEN020000,2,0,xM2-5,3,301,303,401,,,1,1,1,,
DEN020001,2,1,xS2-3,3,110,201,223,,,1,1,1,,
DEN020002,2,2,xS1,1,225,,,,,1,,,,
DEN020003,2,3,xS1,1,207,,,,,1,,,,
DEN020004,2,4,xS1,1,213,,,,,1,,,,
DEN020005,2,5,xS2-3,2,101,202,,,,1,1,,,
DEN020006,2,6,xS4-5,5,104,203,209,217,222,1,1,1,1,1
DEN020007,2,7,xS4-5,5,103,106,107,109,211,1,1,1,1,1
DEN020008,2,8,xS4-5,4,102,108,216,221,,1,1,1,1,
DEN020009,2,9,xS1,1,215,,,,,1,,,,
DEN020010,2,10,xM1,1,308,,,,,1,,,,
DEN020011,2,11,xM1,1,312,,,,,1,,,,
DEN020012,2,12,xM1,1,309,,,,,1,,,,
DEN020013,2,13,xS2-3,3,206,218,305,,,1,1,1,,
DEN020014,2,14,xL1,1,601,,,,,1,,,,
DEN020015,2,15,xS2-3,3,105,220,304,,,1,1,1,,
DEN020016,2,16,xS1,1,224,,,,,1,,,,
DEN020017,2,17,xS1,1,212,,,,,1,,,,
DEN020018,2,18,xM1,1,306,,,,,1,,,,
DEN020019,2,19,xS1,1,226,,,,,1,,,,
DEN030000,3,0,xS1,1,210,,,,,1,,,,
DEN030001,3,1,xM1,1,306,,,,,1,,,,
DEN030002,3,2,xS4-5,5,102,202,207,224,225,1,1,1,1,1
DEN030003,3,3,xS4-5,5,101,103,205,208,212,1,1,1,1,1
DEN030004,3,4,xM1,1,301,,,,,1,,,,
DEN030005,3,5,xS2-3,2,211,307,,,,1,1,,,
DEN030006,3,6,xS2-3,3,107,215,305,,,1,1,1,,
DEN030007,3,7,xS2-3,2,106,223,,,,1,1,,,
DEN030008,3,8,xM1,1,303,,,,,1,,,,
DEN030009,3,9,xS1,1,218,,,,,1,,,,
DEN030010,3,10,xM1,1,304,,,,,1,,,,
DEN030011,3,11,xL1,1,403,,,,,1,,,,
DEN030012,3,12,xS1,1,217,,,,,1,,,,
DEN030013,3,13,xM1,1,309,,,,,1,,,,
DEN030014,3,14,xS1,1,109,,,,,1,,,,
DEN030015,3,15,xS2-3,2,108,214,,,,1,1,,,
DEN030016,3,16,xL1,1,402,,,,,1,,,,
DEN030017,3,17,xS2-3,2,204,302,,,,1,1,,,
DEN030018,3,18,xS2-3,3,201,209,219,,,1,1,1,,
DEN030019,3,19,xM2-5,3,308,311,312,,,1,1,1,,
DEN040000,4,0,xS1,1,225,,,,,1,,,,
DEN040001,4,1,xM1,1,306,,,,,1,,,,
DEN040002,4,2,xS1,1,206,,,,,1,,,,
DEN040003,4,3,xS1,1,107,,,,,1,,,,
DEN040004,4,4,xS2-3,2,110,202,,,,1,1,,,
DEN040005,4,5,xM1,1,310,,,,,1,,,,
DEN040006,4,6,xS1,1,104,,,,,1,,,,
DEN040007,4,7,xL1,1,601,,,,,1,,,,
DEN040008,4,8,xM2-5,5,302,303,309,402,403,1,1,1,1,1
DEN040009,4,9,xS1,1,207,,,,,1,,,,
DEN040010,4,10,xM1,1,305,,,,,1,,,,
DEN040011,4,11,xM1,1,307,,,,,1,,,,
DEN040012,4,12,xS1,1,101,,,,,1,,,,
DEN040013,4,13,xS1,1,226,,,,,1,,,,
DEN040014,4,14,xM1,1,312,,,,,1,,,,
DEN040015,4,15,xM2-5,4,304,311,401,404,,1,1,1,1,
DEN040016,4,16,xS2-3,3,102,203,219,,,1,1,1,,
DEN040017,4,17,xM1,1,301,,,,,1,,,,
DEN040018,4,18,xM1,1,308,,,,,1,,,,
DEN040019,4,19,xS4-5,5,106,210,211,212,224,1,1,1,1,1
DEN050000,5,0,xM1,1,306,,,,,1,,,,
DEN050001,5,1,xS1,1,226,,,,,1,,,,
