item_id,name,JAN_code,height__cm,width__cm,depth__cm,size_category,amount,url
101,Panasonic 5 AA battery pack 1,4902704218810,9,7,3,0-10cm,1,
102,Panasonic 5 AA battery pack 2,4902704218827,9,7,3,0-10cm,1,
103,Panasonic 5 AA battery pack 3,4973934413047,9,7,3,0-10cm,1,
104,Panasonic 5 AA battery pack 4,4902704218827,9,7,3,0-10cm,1,
105,Panasonic 5 AA battery pack 5,4902704218827,9,7,3,0-10cm,1,
106,Panasonic AC adapter,4902710708954,10,9,2,0-10cm,1,
107,ICZI HDMI to to Display port,X000G7X3S3,10,8,2,0-10cm,1,
108,Rampow USB cable,X000L4D64H,9.5,9.5,2,0-10cm,1,
109,Yamaha USB adapter,4957812598033,7.5,7,3.5,0-10cm,1,
110,Toshiba 2 AA battery pack,45003578,22,5,1.5,0-10cm,10,
111,Battery pack (AA) BA-LR14SG-2PC,4901660123824,5,5,2.5,0-10cm,1,
112,"MAX Stapler (No.10-1M, 1000 staples)",4902870200022,5,3,1,0-10cm,3,
113,Plastic Thumbtack (15 pcs/pack),4901480615899,4,7,2,0-10cm,2,
114,Sticky Note,---,7.5,7.5,0.5,0-10cm,4,
115,TEPRA PRO Red (6mm),4971660764006,7,8,2.5,0-10cm,1,
201,AINEX SATA revision 3.0 adapter 1,4937925911578,17,8,3,10-20cm,1,
202,AINEX SATA revision 3.0 adapter 1,4937925911578,17,8,3,10-20cm,1,
203,Eneloop rechargable Battery pack,4973934413061,18,7,3,10-20cm,1,
204,Transcend 128gb SD card,760557826507,16,8,0.5,10-20cm,1,
205,SanDisk 64 gb SD card,619659135942,19,7,0.5,10-20cm,1,
206,Sanwa Supply Mini D-sub to Display port,4969887817421,20,6,3,10-20cm,1,
207,Ugreen USB 2.0 extender,X000AAA7C1,16,9,1.5,10-20cm,1,
208,Elecom USB-USB cube,4953103234741,20,7,3,10-20cm,1,
209,Sanwa Supply type C extension,4969887848043,16.5,7,3,10-20cm,1,
210,Eluteng 24 pin cable adaptor,X000QEFG6D,17,6,2,10-20cm,1,
211,Green House USB AC Adapter,4511677033599,13,8,3.5,10-20cm,1,
212,Sanwa micro SD card 1,4969887312896,16,6.5,2.5,10-20cm,1,
213,Sanwa micro SD card 2,4969887312896,16,6.5,2.5,10-20cm,1,
214,Sandisk SD Card,619659179625,12,10.5,5,10-20cm,1,
215,Transcend Enclosure Kit CM805,760557837459,14,9,5,10-20cm,1,
216,Sandisk SDD drive,4523052020209,12,10.5,5,10-20cm,1,
217,Samsung S21 Ultra Case,---,16,9,3,10-20cm,1,
218,Transcend UHS SDD 1,760557834083,16.5,10,0.5,10-20cm,1,
219,Transcend UHS SDD 2,760557821915,16.5,10,0.5,10-20cm,1,
220,Transcend UHS SDD 3,760557821915,16.5,10,0.5,10-20cm,1,
221,I/O DATA SD 128 gb card,4957180124704,17,9.5,0.5,10-20cm,1,
222,Google Pixel 5,355660113403523,18,8,6.5,10-20cm,1,
223,Samsung Galaxy S3,8806085067844,16.5,8,7,10-20cm,1,
