sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
DEN010001,1,1,xS2-3,2,214,223,,,,1,1,,,
DEN010002,1,2,xM1,1,309,,,,,1,,,,
DEN010003,1,3,xS1,1,218,,,,,1,,,,
DEN010004,1,4,xS4-5,4,106,107,109,221,,1,1,1,1,
DEN010005,1,5,xM1,1,307,,,,,1,,,,
DEN010006,1,6,xS1,1,101,,,,,1,,,,
DEN010007,1,7,xS1,1,213,,,,,1,,,,
DEN010008,1,8,xS2-3,3,105,220,301,,,1,1,1,,
DEN010009,1,9,xM1,1,303,,,,,1,,,,
DEN010010,1,10,xS2-3,3,102,103,217,,,1,1,1,,
DEN010011,1,11,xS1,1,216,,,,,1,,,,
DEN010012,1,12,xS1,1,211,,,,,1,,,,
DEN010013,1,13,xM1,1,310,,,,,1,,,,
DEN010014,1,14,xS2-3,3,202,209,311,,,1,1,1,,
DEN010015,1,15,xS4-5,5,205,208,212,219,224,1,1,1,1,1
DEN010016,1,16,xS4-5,5,104,201,204,206,226,1,1,1,1,1
DEN010017,1,17,xS1,1,225,,,,,1,,,,
DEN010018,1,18,xM1,1,306,,,,,1,,,,
DEN010019,1,19,xS1,1,210,,,,,1,,,,
DEN010020,1,20,xS1,1,203,,,,,1,,,,
DEN020001,2,1,xS2-3,3,202,219,307,,,1,1,1,,
DEN020002,2,2,xS2-3,2,203,205,,,,1,1,,,
DEN020003,2,3,xS4-5,4,101,106,212,217,,1,1,1,1,
DEN020004,2,4,xS1,1,222,,,,,1,,,,
DEN020005,2,5,xS1,1,223,,,,,1,,,,
DEN020006,2,6,xS2-3,3,206,214,309,,,1,1,1,,
DEN020007,2,7,xS2-3,2,201,213,,,,1,1,,,
DEN020008,2,8,xS2-3,3,103,105,310,,,1,1,1,,
DEN020009,2,9,xS2-3,3,208,215,225,,,1,1,1,,
DEN020010,2,10,xS2-3,2,104,108,,,,1,1,,,
DEN020011,2,11,xS1,1,209,,,,,1,,,,
DEN020012,2,12,xL1,1,601,,,,,1,,,,
DEN020013,2,13,xS1,1,220,,,,,1,,,,
DEN020014,2,14,xS1,1,226,,,,,1,,,,
DEN020015,2,15,xS2-3,2,107,311,,,,1,1,,,
DEN020016,2,16,xS2-3,3,207,218,304,,,1,1,1,,
DEN020017,2,17,xS1,1,221,,,,,1,,,,
DEN020018,2,18,xS1,1,224,,,,,1,,,,
DEN020019,2,19,xM1,1,306,,,,,1,,,,
DEN020020,2,20,xS1,1,210,,,,,1,,,,
DEN030001,3,1,xS1,1,218,,,,,1,,,,
DEN030002,3,2,xS2-3,3,103,107,209,,,1,1,1,,
DEN030003,3,3,xS1,1,105,,,,,1,,,,
DEN030004,3,4,xS4-5,5,108,206,211,214,215,1,1,1,1,1
DEN030005,3,5,xM1,1,308,,,,,1,,,,
DEN030006,3,6,xS2-3,2,109,225,,,,1,1,,,
DEN030007,3,7,xS1,1,223,,,,,1,,,,
DEN030008,3,8,xM1,1,312,,,,,1,,,,
